OTU	Pelagic01_2000uM	Pelagic01_1000uM	Pelagic1_500uM	Pelagic1_100uM	Pelagic1_Placa	LEK-01_Placa	LEK-01_100uM	LEK-01_500uM	LEK-02_Placa	LEK-02_100uM	LEK-02_500uM	LEK-02_2000uM	LEK-03_Placa	LEK-03_100uM	LEK-03_500uM	LEK-03_2000uM	PAS-01_Placa	PAS-01_100uM	PAS-01_500uM	PAS-02_Placa	PAS-02_100uM	PAS-02_500uM	PAS-02_2000uM	PAS-03_Placa	PAS-03_100uM	PAS-03_500uM	PAS-03_2000uM	ZUM-01_Placa	ZUM-01_100uM	ZUM-01_500uM	ZUM-01_2000uM	ZUM-02_Placa	ZUM-02_100uM	ZUM-02_500uM	ZUM-02_2000uM	ZUM-03_Placa	ZUM-03_100uM	ZUM-03_500uM	classification
SWARM_597	0	0	0	0	0	17	0	77	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda;Porcellanidae;Porcellana;Porcellana platycheles
SWARM_592	3	19	64	130	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa;Leptothecata;Obeliidae;Obelia;Obelia dichotoma
SWARM_28207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Lepetellida;Haliotidae;Haliotis;Haliotis tuberculata
SWARM_1552	0	0	0	0	0	0	0	9	0	1	1	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	5	1	0	0	4	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Amphipoda;Calliopiidae;Apherusa
SWARM_591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Chaetopteridae;Chaetopteridae (family);Chaetopterus;Chaetopterus sarsii
SWARM_1898	0	0	0	0	0	0	0	0	1	23	1	0	0	4	0	0	0	2	0	0	1	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta
SWARM_511	1	0	0	1	5	11	0	2	11	0	0	0	20	0	0	0	13	1	4	139	0	0	3	71	0	0	4	17	0	0	0	2	1	0	0	3	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Sabellida;Serpulidae;Pomatoceros;Pomatoceros triqueter
SWARM_109	0	0	0	0	0	0	94	44	1	80	210	31	158	18	158	486	20	12	0	0	36	17	2141	0	1	0	0	0	0	0	0	0	22	0	49	0	10	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Chaetopteridae;Chaetopteridae (family);Chaetopterus
SWARM_2688	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	3	3	0	4	1	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Amphipoda;Caprellidae;Caprella;Caprella danilevskii
SWARM_238	19	5	91	64	260	0	0	0	0	27	16	7	0	0	0	0	0	0	3	0	3	26	0	0	0	0	1	0	1	25	0	0	62	65	0	0	0	2	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata;Ascidiacea;Aplousobranchia
SWARM_232	0	0	0	0	0	0	5	0	1	0	0	0	0	17	5	0	0	0	11	0	0	0	0	0	0	0	0	0	75	0	1	0	18	1	0	0	22	3	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Phyllodocida
SWARM_231	4	0	348	15	13	0	0	0	0	0	0	0	0	0	0	0	0	215	5	9	66	12	0	6	160	8	5	0	0	0	0	0	13	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Phyllodocida;Hesionidae;Nereimyra;Nereimyra punctata
SWARM_230	0	0	0	0	0	0	0	1	0	3	9	3	0	2	8	3	0	0	4	0	0	8	0	0	1	0	1	0	0	22	0	0	2	14	0	0	0	3	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda
SWARM_8169	0	0	6	0	1	1	0	0	0	2	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Venerida;Veneridae
SWARM_974	6	3	5	1	1	2	0	8	0	0	8	0	1	0	7	1	0	3	2	0	2	0	0	1	8	0	3	0	1	3	0	1	0	6	0	0	0	2	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Decapoda;Porcellanidae
SWARM_3771	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	4	1	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Amphipoda;Aoridae;Microdeutopus
SWARM_875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	93	4	3	20	11	4	10	89	2	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Nudibranchia;Dotidae;Doto;Doto coronata
SWARM_876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata;Actinopteri;Gadiformes;Gaidropsaridae;Gaidropsarus;Gaidropsarus vulgaris
SWARM_1305	0	4	12	15	33	0	3	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata;Ascidiacea;Aplousobranchia
SWARM_3916	0	0	0	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Bivalvia;Cardiida;Scrobiculariidae;Scrobicularia;Scrobicularia plana
SWARM_1733	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	2	0	6	6	42	0	2	3	0	2	0	5	0	0	0	2	0	0	0	1	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Annelida;Polychaeta;Phyllodocida;Syllidae;Myrianida;Myrianida prolifera
SWARM_1738	0	0	0	0	0	0	12	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Chordata;Actinopteri;Perciformes;Serranidae;Serranus;Serranus cabrilla
SWARM_6125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Nemertea;Pilidiophora;Heteronemertea;Lineidae;Micrura;Micrura purpurea
SWARM_2638	0	0	0	0	0	0	2	0	0	5	1	0	0	5	1	0	0	9	4	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Cnidaria;Hydrozoa
SWARM_6045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Nudibranchia;Dotidae;Doto
SWARM_7888	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellular organisms;Eukaryota;Amorphea;Metazoa;Mollusca;Gastropoda;Cerithiopsidae;Cerithiopsidae (family);Cerithiopsis
