Rank	Taxonpath	Taxon	Pelagic01_2000uM	Pelagic01_1000uM	Pelagic1_500uM	Pelagic1_100uM	Pelagic1_Placa	LEK-01_Placa	LEK-01_100uM	LEK-01_500uM	LEK-02_Placa	LEK-02_100uM	LEK-02_500uM	LEK-02_2000uM	LEK-03_Placa	LEK-03_100uM	LEK-03_500uM	LEK-03_2000uM	PAS-01_Placa	PAS-01_100uM	PAS-01_500uM	PAS-02_Placa	PAS-02_100uM	PAS-02_500uM	PAS-02_2000uM	PAS-03_Placa	PAS-03_100uM	PAS-03_500uM	PAS-03_2000uM	ZUM-01_Placa	ZUM-01_100uM	ZUM-01_500uM	ZUM-01_2000uM	ZUM-02_Placa	ZUM-02_100uM	ZUM-02_500uM	ZUM-02_2000uM	ZUM-03_Placa	ZUM-03_100uM	ZUM-03_500uM
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Amphipoda;Calliopiidae;Apherusa	Apherusa	0	0	0	0	0	0	0	9	0	1	1	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	5	1	0	0	4	0	0	0	0	0
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Amphipoda;Maeridae;Elasmopus	Elasmopus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	4
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Amphipoda;Melitidae;Gammarella	Gammarella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	7
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Isopoda;Sphaeromatidae;Cymodoce	Cymodoce	0	0	0	0	0	13	0	0	1	0	0	2	1	0	0	0	1	0	0	18	0	1	5	13	0	1	14	12	0	67	2	0	24	83	1	11	0	5
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Isopoda;Sphaeromatidae;Dynamene	Dynamene	0	0	0	0	0	0	1	61	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	2	0	0	0	0	0
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Tanaidacea;Apseudidae;Apseudes	Apseudes	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Malacostraca;Tanaidacea;Leptocheliidae;Leptochelia	Leptochelia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	1	0	0	0	5	23	1	0	0	0	0	0	3	0	0	0	0	0
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Thecostraca;Balanomorpha;Balanidae;Balanus	Balanus	56	5	8	168	1425	0	0	0	13	0	0	0	46	0	0	0	2	1	0	20	0	0	2	60	0	1	2	0	0	0	0	0	0	0	0	8	0	0
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Thecostraca;Verrucomorpha;Verrucidae;Verruca	Verruca	1224	215	516	90	1744	28	0	0	102	23	2	3	18	1	2	2	12	104	56	457	49	35	46	416	25	28	31	103	66	1	0	9	71	13	2	170	8	2
genus	Cellular organisms;Eukaryota;Amorphea;Metazoa;Arthropoda;Pycnogonida;Pantopoda;Endeidae;Endeis	Endeis	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
